web-scraper-order,web-scraper-start-url,name,school,image-src,link,link-href
"1668781088-11021","https://www.edx.org/search?tab=course&subject=Engineering","Data Creation and
Collection for Artificial
Intelligence via Crowds…","DelftX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Data Creation and
Collection for Artificial
Intelligence via Crowds……Schools and Partners: DelftX…Course","https://www.edx.org/course/ai-skills-for-engineers-data-creation-and-collection?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=14"
"1668781088-11022","https://www.edx.org/search?tab=course&subject=Engineering","Lean Product Portfolios:
Beyond Value Stream
Mapping","UMD, USMx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Lean Product Portfolios:
Beyond Value Stream
Mapping…Schools and Partners: UMD, USMx…Course","https://www.edx.org/course/lean-product-portfolios-beyond-value-stream-mapping?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=15"
"1668781088-11023","https://www.edx.org/search?tab=course&subject=Engineering","Customer-Centric
Enterprise: Scale Product
Lifecycle Management","UMD, USMx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Customer-Centric
Enterprise: Scale Product
Lifecycle Management…Schools and Partners: UMD, USMx…Course","https://www.edx.org/course/customer-centric-enterprise-scale-product-lifecycle-management?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=16"
"1668781088-11024","https://www.edx.org/search?tab=course&subject=Engineering","Lean Enterprise
Framework: Transform
the Business Model","UMD, USMx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Lean Enterprise
Framework: Transform
the Business Model…Schools and Partners: UMD, USMx…Course","https://www.edx.org/course/lean-enterprise-framework-transform-the-business-model?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=17"
"1668781088-11025","https://www.edx.org/search?tab=course&subject=Engineering","School gardens for future
citizens","UPValenciaX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","School gardens for future
citizens…Schools and Partners: UPValenciaX…Course","https://www.edx.org/course/school-gardens-for-future-citizens?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=18"
"1668781088-11026","https://www.edx.org/search?tab=course&subject=Engineering","ISCEA CLSSYB Exam","ISCEA","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","ISCEA CLSSYB Exam…Schools and Partners: ISCEA…Course","https://www.edx.org/course/iscea-clssyb-exam?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=19"
"1668781088-11027","https://www.edx.org/search?tab=course&subject=Engineering","IoT Capstone Project","CurtinX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","IoT Capstone Project…Schools and Partners: CurtinX…Course","https://www.edx.org/course/iot-capstone-project?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=20"
"1668781088-11028","https://www.edx.org/search?tab=course&subject=Engineering","Programming for the Web
with JavaScript","PennX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Programming for the Web
with JavaScript…Schools and Partners: PennX…Course","https://www.edx.org/course/programming-for-the-web-with-javascript?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=21"
"1668781088-11029","https://www.edx.org/search?tab=course&subject=Engineering","Introduction to
Engineering and Design","BrownX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Introduction to
Engineering and Design…Schools and Partners: BrownX…Course","https://www.edx.org/course/introduction-to-engineering-and-design?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=22"
"1668781088-11030","https://www.edx.org/search?tab=course&subject=Engineering","Fundamentos de logística","logycaX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Fundamentos de logística…Schools and Partners: logycaX…Course","https://www.edx.org/course/fundamentos-de-la-logistica?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=23"
