web-scraper-order,web-scraper-start-url,name,description,image-src,link,link-href,rating,review-count
"1668875189-46575","https://www.udacity.com/courses/all?field=school-of-programming","Data Wrangling with MongoDB","Data Scientists spend most of their time cleaning data. In this course, you will learn to convert and manipulate messy data to extract what you need.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud032_thumbnail.jpg","freeData Wrangling with MongoDBData Scientists spend most of their time cleaning data. In this course, you will learn to convert and manipulate messy data to extract what you need.Skills CoveredGathering Data, Assessing Data, Cleaning Data, Data Wrangling, MongoDBView more +Program Detailsintermediate2 MonthsIn collaboration with:MongoDBProgram DetailsIn collaboration with:MongoDB","https://www.udacity.com/course/data-wrangling-with-mongodb--ud032","null","null"
"1668875189-46576","https://www.udacity.com/courses/all?field=school-of-programming","Swift for Developers","Get a quick practical introduction to Swift programming basics and build your first iOS app!","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud1025_thumbnail.jpg","freeSwift for DevelopersGet a quick practical introduction to Swift programming basics and build your first iOS app!Skills CoveredVariables and Constants, Strings, Control Flow, FunctionsView more +Program Detailsbeginner7 DaysProgram Details","https://www.udacity.com/course/swift-for-developers--ud1025","null","null"
"1668875189-46577","https://www.udacity.com/courses/all?field=school-of-programming","Firebase in a Weekend: Android","This course will teach you when and why to choose Firebase as a backend for your Android application.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud0352_thumbnail.jpg","freeFirebase in a Weekend: AndroidThis course will teach you when and why to choose Firebase as a backend for your Android application.Skills CoveredAndroid DevelopmentView more +Program Detailsintermediate2 DaysIn collaboration with:GoogleProgram DetailsIn collaboration with:Google","https://www.udacity.com/course/firebase-in-a-weekend-by-google-android--ud0352","null","null"
"1668875189-46578","https://www.udacity.com/courses/all?field=school-of-programming","Software Debugging","In this course you will learn how to debug programs systematically using scientific methods and build several automated debugging tools in Python.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/cs259_thumbnail.jpg","freeSoftware DebuggingIn this course you will learn how to debug programs systematically using scientific methods and build several automated debugging tools in Python.Skills CoveredDebugging, Python, Automated DebuggingView more +Program Detailsintermediate2 MonthsProgram Details","https://www.udacity.com/course/software-debugging--cs259","null","null"
"1668875189-46579","https://www.udacity.com/courses/all?field=school-of-programming","Deploying a Hadoop Cluster","Deploy your own Hadoop cluster to crunch some big data!","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud1000_thumbnail.jpg","freeDeploying a Hadoop ClusterDeploy your own Hadoop cluster to crunch some big data!Skills CoveredData Analysis, Hadoop, MapReduceView more +Program Detailsintermediate3 WeeksProgram Details","https://www.udacity.com/course/deploying-a-hadoop-cluster--ud1000","null","null"
"1668875189-46580","https://www.udacity.com/courses/all?field=school-of-programming","Server-Side Swift","In this course, built in collaboration with IBM and Hashicorp, you'll learn how to use Swift as a server-side language for building end-to-end applications.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud1031_thumbnail.jpg","freeServer-Side SwiftIn this course, built in collaboration with IBM and Hashicorp, you'll learn how to use Swift as a server-side language for building end-to-end applications.Skills CoveredSwift Package Manager, MySQL, Docker, Terraform, MicroservicesView more +Program Detailsintermediate2 WeeksProgram Details","https://www.udacity.com/course/server-side-swift--ud1031","null","null"
"1668875189-46581","https://www.udacity.com/courses/all?field=school-of-programming","Networking for Web Developers","You've used the Internet. Now find out more about how it works.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud256_thumbnail.jpg","freeNetworking for Web DevelopersYou've used the Internet. Now find out more about how it works.Skills CoveredHTTP, Domain Name System, Ping, TCP/IP stack, IP addressingView more +Program Detailsbeginner2 WeeksProgram Details","https://www.udacity.com/course/networking-for-web-developers--ud256","null","null"
"1668875189-46582","https://www.udacity.com/courses/all?field=school-of-programming","Intro to Physics","Go to the places where big physics discoveries were made in the past and make them yourself. You’ll visit Italy, the Netherlands, and the UK as you learn basic physics.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ph100_thumbnail.jpg","freeIntro to PhysicsGo to the places where big physics discoveries were made in the past and make them yourself. You’ll visit Italy, the Netherlands, and the UK as you learn basic physics.Skills CoveredKinematics, Dynamics, Trigonometry, Periodic Motion, ElectricityView more +Program Detailsbeginner2 MonthsProgram Details","https://www.udacity.com/course/intro-to-physics--ph100","null","null"
"1668875189-46583","https://www.udacity.com/courses/all?field=school-of-programming","Intro to Relational Databases","Relational databases are a powerful tool used throughout the industry. Learn the basics of SQL and how to connect your Python code to a relational database.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud197_thumbnail.jpg","freeIntro to Relational DatabasesRelational databases are a powerful tool used throughout the industry. Learn the basics of SQL and how to connect your Python code to a relational database.Skills CoveredRational databases, SQL, Python API, Python DB-API, Select and insert statementsView more +Program Detailsintermediate4 WeeksProgram Details","https://www.udacity.com/course/intro-to-relational-databases--ud197","null","null"
"1668875189-46584","https://www.udacity.com/courses/all?field=school-of-programming","ES6 - JavaScript Improved","Learn about the changes made to the JavaScript programming language in ECMAScript 6 and how to use these new improvements to write better cleaner code.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud356_thumbnail.jpg","freeES6 - JavaScript ImprovedLearn about the changes made to the JavaScript programming language in ECMAScript 6 and how to use these new improvements to write better cleaner code.Skills CoveredJavaScript, ES6, Syntax, FunctionsView more +Program Detailsadvanced4 WeeksProgram Details","https://www.udacity.com/course/es6-javascript-improved--ud356","null","null"
"1668875189-46585","https://www.udacity.com/courses/all?field=school-of-programming","Mobile Design and Usability for iOS","In this course, taught in collaboration with Facebook, you'll learn how to design an intuitive, user-centered mobile app, from product conception to release.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud1034_thumbnail.jpg","freeMobile Design and Usability for iOSIn this course, taught in collaboration with Facebook, you'll learn how to design an intuitive, user-centered mobile app, from product conception to release.Skills CoveredProduct Design, PrototypingView more +Program Detailsintermediate2 WeeksIn collaboration with:Facebook for DevelopersProgram DetailsIn collaboration with:Facebook for Developers","https://www.udacity.com/course/mobile-design-and-usability-for-ios--ud1034","null","null"
"1668875189-46586","https://www.udacity.com/courses/all?field=school-of-programming","Intro to AJAX","Learn how to perform asynchronous requests as you build a web app with data from Google Street View, the New York Times and Wikipedia!","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud110_thumbnail.jpg","freeIntro to AJAXLearn how to perform asynchronous requests as you build a web app with data from Google Street View, the New York Times and Wikipedia!Skills CoveredAsynchronous requests with JavaScript, Data APIs, Web Applications, Site CustomizationView more +Program Detailsintermediate2 WeeksProgram Details","https://www.udacity.com/course/intro-to-ajax--ud110","null","null"
"1668875189-46587","https://www.udacity.com/courses/all?field=school-of-programming","Intro to Algorithms","This class will give you an introduction to the design and analysis of algorithms, enabling you to analyze networks and discover how individuals are connected.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/cs215_thumbnail.jpg","freeIntro to AlgorithmsThis class will give you an introduction to the design and analysis of algorithms, enabling you to analyze networks and discover how individuals are connected.Skills CoveredAlgorithms, Social Networks, Graph AlgorithmsView more +Program Detailsintermediate4 MonthsProgram Details","https://www.udacity.com/course/intro-to-algorithms--cs215","null","null"
"1668875189-46588","https://www.udacity.com/courses/all?field=school-of-programming","The MVC Pattern in Ruby","In this course you’ll learn how to organize your code, and why that’s important. You’ll be using the MVC Design Pattern in the web application micro-framework Sinatra.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud270_thumbnail.jpg","freeThe MVC Pattern in RubyIn this course you’ll learn how to organize your code, and why that’s important. You’ll be using the MVC Design Pattern in the web application micro-framework Sinatra.Skills CoveredRuby, Sinatra, MVC Design Pattern, Writing organized codeView more +Program Detailsintermediate1 WeekProgram Details","https://www.udacity.com/course/the-mvc-pattern-in-ruby--ud270","null","null"
"1668875189-46589","https://www.udacity.com/courses/all?field=school-of-programming","WeChat Mini Program Development","Developed by Tencent and Udacity, this course will teach you to build your first Mini Program.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud667_thumbnail.jpg","freeWeChat Mini Program DevelopmentDeveloped by Tencent and Udacity, this course will teach you to build your first Mini Program.View more +Program Detailsbeginner4 WeeksIn collaboration with:WeChatProgram DetailsIn collaboration with:WeChat","https://www.udacity.com/course/wechat-mini-programs--ud667","null","null"
"1668875189-46590","https://www.udacity.com/courses/all?field=school-of-programming","Asynchronous JavaScript Requests","Learn how to asynchronously request data in your web applications with Ajax.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud109_thumbnail.jpg","freeAsynchronous JavaScript RequestsLearn how to asynchronously request data in your web applications with Ajax.Skills CoveredAsynchronous Data Retrieval, Ajax with XHR, Ajax with jQuery, Ajax with FetchView more +Program Detailsintermediate3 WeeksProgram Details","https://www.udacity.com/course/asynchronous-javascript-requests--ud109","null","null"
